TT	PID	AT	CT	IO_D	WT	RT	TRT
1152	99	159	185	0	808	166	993
1155	21	32	114	29	1009	4	1123
1155	139	39	110	0	1081	244	1116
1155	152	286	106	0	790	504	869
1155	153	286	106	0	869	-1	869
1158	159	349	262	0	547	548	809
1158	174	902	256	0	108	1	256
1158	175	911	247	0	247	-1	247
1183	1	2	156	9	1025	1	1181
1264	165	586	226	0	452	453	678
1264	176	1043	221	0	1	1	221
1264	177	1049	215	0	215	-1	215
1264	178	1049	215	0	215	-1	215
1326	147	158	244	0	924	22	1168
1326	150	189	234	0	1116	390	1137
1340	73	123	132	0	1085	394	1217
1370	69	113	299	0	958	512	1257
1412	111	178	186	41	1048	1	1234
1450	129	199	279	15	972	1	1251
1476	36	61	202	0	1213	2	1415
1482	72	120	223	0	1139	433	1362
1492	81	134	224	0	1134	1022	1358
1506	109	172	139	0	1195	432	1334
1568	38	64	53	44	1451	188	1504
1578	156	341	270	0	967	1	1237
1578	158	349	262	0	1142	281	1229
1578	166	634	257	0	764	1	944
1578	167	637	254	0	780	20	941
1578	169	657	253	0	696	618	921
1578	179	1278	249	0	235	235	300
1578	180	1514	247	0	64	-1	64
1586	30	47	21	0	1518	6	1539
1614	34	55	140	0	1419	193	1559
1666	132	202	166	0	1298	145	1464
1688	57	93	115	9	1480	270	1595
1695	16	24	179	8	1492	335	1671
1749	60	99	255	0	1395	164	1650
1758	124	192	186	27	1380	22	1566
1767	144	127	271	0	1369	192	1640
1767	154	322	267	0	1187	313	1445
1767	168	643	258	0	1051	872	1124
1767	181	1522	250	0	57	57	245
1767	182	1584	244	0	105	1	183
1767	183	1586	242	0	77	30	181
1767	184	1619	238	0	148	-1	148
1809	55	92	217	22	1500	402	1717
1821	120	189	28	40	1604	80	1632
1832	133	204	163	9	1465	304	1628
1835	143	127	271	0	1437	214	1708
1874	118	189	171	30	1514	8	1685
1906	88	146	61	28	1699	103	1760
1928	9	17	261	0	1650	1	1911
2046	12	20	236	0	1790	1	2026
2080	110	175	172	0	1733	822	1905
2094	96	155	188	68	1751	1	1939
2137	2	5	288	40	1844	1	2132
2145	5	10	36	51	2099	1	2135
2169	33	54	145	0	1970	17	2115
2199	48	79	105	14	2015	609	2120
2201	50	83	226	0	1892	126	2118
2249	102	165	100	44	1984	156	2084
2288	108	171	278	0	1839	21	2117
2361	128	198	132	63	2031	140	2163
2367	122	191	206	0	1970	108	2176
2388	105	166	65	104	2157	216	2222
2480	26	41	267	33	2172	1	2439
2499	117	188	243	0	2068	57	2311
2507	52	88	39	58	2380	310	2419
2515	103	165	57	36	2293	241	2350
2524	134	204	225	23	2095	39	2320
2533	107	169	82	0	2282	243	2364
2551	40	67	276	0	2208	477	2484
2563	114	183	187	5	2193	1	2380
2603	58	96	138	0	2369	319	2507
2654	123	191	198	0	2265	392	2463
2658	97	156	246	61	2256	1	2502
2676	112	181	229	0	2266	1	2495
2692	32	53	53	67	2586	15	2639
2710	95	154	123	21	2433	133	2556
2738	45	73	245	48	2420	7	2665
2754	121	189	210	0	2355	81	2565
2780	70	114	246	24	2420	433	2666
2797	82	134	251	0	2412	1	2663
2817	90	147	266	70	2404	1	2670
2818	80	133	102	72	2583	1	2685
2826	94	152	164	54	2510	569	2674
2886	106	168	72	87	2646	418	2718
2892	131	200	243	0	2449	12	2692
2947	39	67	89	79	2791	179	2880
3014	89	147	233	19	2634	152	2867
3023	8	16	156	39	2851	1	3007
3050	68	113	131	49	2806	20	2937
3059	86	142	93	34	2824	108	2917
3103	100	162	150	0	2791	371	2941
3105	101	164	258	29	2683	125	2941
3107	78	131	204	0	2772	13	2976
3138	92	151	189	0	2798	384	2987
3155	126	192	271	18	2692	493	2963
3166	77	128	114	33	2924	11	3038
3169	29	47	110	81	3012	3	3122
3198	66	109	289	77	2800	1	3089
3263	3	6	282	82	2975	1	3257
3264	20	31	150	13	3083	839	3233
3277	49	82	282	61	2913	203	3195
3279	41	68	258	49	2953	36	3211
3334	43	70	176	0	3088	208	3264
3367	31	50	281	39	3036	12	3317
3385	28	46	240	68	3099	1	3339
3403	59	97	185	81	3121	399	3306
3412	71	117	146	0	3149	1430	3295
3424	98	157	84	74	3183	133	3267
3433	7	13	276	82	3144	1	3420
3440	64	105	107	102	3228	445	3335
3461	76	128	166	84	3167	10	3333
3473	84	138	219	88	3116	561	3335
3476	37	62	139	71	3275	443	3414
3491	83	136	156	58	3199	152	3355
3497	62	104	221	108	3172	149	3393
3514	53	88	167	70	3259	384	3426
3526	91	149	196	0	3181	759	3377
3553	93	151	225	87	3177	179	3402
3590	18	26	292	0	3272	3	3564
3592	25	39	273	59	3280	3	3553
Processes: 184

Avg WT=1377,		Avg RT=175,		Avg TRT=1522
Migration:		RTF = 45%		MaxW = 58% 
Work Steal: 97% 
Forked Process: 23% 
Killed Process: 19% 
Before Deadline: 29% 

Processors: 11 [4 FCFS, 2 SJF, 2 EDF, 3 RR]
Processor Load
p1=6%	p2=6%	p3=6%	p4=7%	p5=12%	p6=12%	p7=11%	p8=11%	p9=13%	p10=13%	p11=12%	

Processor Utilization
p1=45%	p2=42%	p3=42%	p4=50%	p5=89%	p6=88%	p7=85%	p8=85%	p9=92%	p10=92%	p11=91%	

Avg utilization = 72% 
