TT	PID	AT	CT	IO_D	WT	RT	TRT
103	27	43	60	0	0	1	60
132	67	112	1	47	19	20	20
169	87	145	24	0	0	1	24
169	146	152	17	0	17	-1	17
181	47	78	103	0	0	1	103
181	140	83	98	0	98	-1	98
181	141	83	98	0	98	-1	98
204	116	187	6	0	11	12	17
248	15	21	226	0	1	2	227
287	17	26	184	0	77	1	261
289	23	38	35	0	216	217	251
308	63	104	9	0	195	196	204
310	54	90	12	0	208	209	220
320	22	35	51	40	234	1	285
340	135	21	235	0	84	1	319
340	137	27	229	0	291	292	313
340	155	323	224	0	17	-1	17
381	24	38	12	0	331	322	343
403	104	165	60	0	178	179	238
417	35	58	288	0	71	22	359
432	19	29	59	0	344	345	403
525	142	91	98	0	336	337	434
525	160	430	95	0	95	-1	95
526	11	20	86	0	420	1	506
546	6	10	134	0	402	1	536
568	13	20	213	0	335	1	548
568	136	23	210	0	432	147	545
568	148	173	206	0	395	-1	395
572	127	195	51	0	326	1	377
572	130	199	196	0	177	4	373
585	113	183	13	40	389	328	402
629	157	345	124	0	160	161	284
629	161	515	114	0	114	-1	114
634	145	134	129	0	371	207	500
636	51	86	103	0	447	1	550
665	162	530	135	0	0	1	135
665	163	536	129	0	129	-1	129
678	4	7	40	5	631	1	671
720	46	76	224	0	420	8	644
724	56	93	18	33	613	261	631
731	14	21	167	0	543	1	710
740	75	126	63	0	551	325	614
760	119	189	196	0	375	232	571
789	149	180	184	0	425	17	609
789	151	204	176	0	585	-1	585
812	138	27	140	0	645	499	785
856	85	139	104	0	613	134	717
863	74	123	98	0	642	39	740
895	170	790	105	0	0	1	105
895	171	792	103	0	103	-1	103
921	61	102	43	0	776	571	819
978	79	133	99	0	746	747	845
1038	164	586	226	0	226	227	452
1038	172	813	225	0	7	1	225
1038	173	820	218	0	218	-1	218
1039	115	185	82	34	772	20	854
1053	44	71	191	0	791	455	982
1066	65	107	273	0	686	142	959
1109	125	192	263	0	654	655	917
1119	42	70	152	0	897	558	1049
1138	10	19	245	0	874	1	1119
