TT	PID	AT	CT	IO_D	WT	RT	TRT
60	28	37	14	0	9	4	23
79	7	8	71	0	0	1	71
121	80	115	6	78	0	1	6
151	9	12	139	0	0	1	139
151	122	17	134	0	134	-1	134
153	10	12	141	0	0	1	141
153	121	14	139	0	138	138	139
172	87	125	8	73	39	4	47
190	125	155	18	0	17	18	35
190	127	176	14	0	14	-1	14
235	84	121	109	0	5	6	114
268	14	17	154	0	97	28	251
271	118	175	14	0	82	83	96
277	60	82	20	0	175	108	195
304	34	43	52	0	209	158	261
322	26	33	155	0	134	86	289
325	123	34	172	0	119	120	291
325	126	163	162	0	29	29	162
325	128	192	161	0	1	1	133
325	129	195	158	0	130	-1	130
425	131	336	89	0	0	1	89
425	132	341	84	0	84	-1	84
425	124	101	100	0	224	225	324
425	130	327	98	0	40	1	98
433	103	154	19	66	260	1	279
572	57	77	1	69	494	495	495
586	41	53	22	38	511	19	533
586	137	581	5	0	5	-1	5
672	98	142	74	25	456	103	530
686	47	62	184	0	440	182	624
766	4	5	139	0	622	1	761
769	13	16	34	0	719	4	753
794	61	83	21	0	690	505	711
856	11	15	260	0	581	2	841
856	133	581	209	0	275	-1	275
856	134	581	209	0	193	7	275
856	139	589	207	0	93	94	267
856	140	684	205	0	172	-1	172
856	22	29	65	27	762	89	827
874	101	148	208	0	518	184	726
1110	54	71	125	5	914	669	1039
1111	112	168	2	0	939	176	943
1180	109	163	141	0	876	449	1017
1185	23	32	93	25	1060	290	1153
1189	6	7	199	0	983	1	1182
1213	136	581	289	0	343	344	632
1213	145	928	285	0	285	-1	285
1225	20	28	37	0	1160	5	1197
1234	30	40	12	0	1182	467	1194
1239	62	85	34	74	1120	341	1154
1248	97	139	188	0	921	26	1109
1252	2	4	23	0	1225	1	1248
1279	32	40	74	0	1165	470	1239
1360	49	62	142	0	1156	536	1298
1409	135	581	289	0	539	8	828
1409	138	589	288	0	753	268	820
1409	141	866	278	0	374	1	543
1409	143	868	276	0	280	186	541
1409	147	1056	273	0	353	-1	353
1409	142	866	278	0	435	1	543
1409	144	870	274	0	522	166	539
1409	146	1038	271	0	371	-1	371
1457	65	88	108	0	1261	3	1369
1531	27	34	263	0	1234	360	1497
1535	50	63	88	25	1384	1065	1472
1552	76	109	116	45	1326	1	1443
1565	71	98	103	0	1364	1	1467
1566	83	119	282	0	1165	360	1447
1656	19	25	184	20	1447	3	1631
1727	81	117	210	0	1400	360	1610
1772	36	45	98	40	1629	135	1727
1781	21	28	37	29	1716	8	1753
1795	25	33	57	43	1705	335	1762
1813	90	129	236	0	1448	9	1684
1822	5	7	282	26	1533	1	1815
1831	115	171	153	0	1507	267	1660
1846	45	57	14	19	1775	580	1789
1937	79	114	79	72	1744	192	1823
1980	70	95	92	55	1793	66	1885
2053	96	137	254	71	1662	25	1916
2057	107	161	167	0	1729	433	1896
2061	89	128	107	0	1826	7	1933
2212	110	163	295	10	1754	272	2049
2412	67	92	104	69	2216	1	2320
2444	42	53	64	93	2327	8	2391
2459	111	165	99	0	2195	223	2294
2468	88	127	196	21	2145	5	2341
2477	15	20	281	24	2176	795	2457
2609	64	87	167	42	2355	1	2522
2647	48	62	190	61	2395	31	2585
2651	56	74	273	49	2304	493	2577
2659	91	131	52	61	2476	13	2528
2663	38	46	242	0	2375	138	2617
2667	40	50	186	24	2431	312	2617
2676	93	134	70	70	2472	19	2542
2709	46	60	85	0	2564	125	2649
2791	53	69	210	0	2512	5	2722
2889	17	21	275	15	2593	260	2868
2901	105	158	164	43	2579	439	2743
2957	3	4	154	66	2799	1	2953
2966	51	66	250	0	2650	560	2900
3024	37	45	248	56	2731	137	2979
3041	69	94	180	0	2767	1	2947
3050	68	92	100	39	2858	140	2958
3100	108	162	259	47	2679	60	2938
3200	55	72	274	0	2854	567	3128
3249	95	134	204	83	2911	22	3115
3257	24	32	178	0	3047	10	3225
3276	75	106	135	14	3035	1	3170
3285	78	114	244	30	2927	9	3171
3311	119	178	289	59	2844	1	3133
3335	66	89	240	0	3006	5	3246
3366	16	21	108	36	3237	553	3345
3430	1	1	258	17	3171	1	3429
3584	94	134	229	25	3221	20	3450
3593	12	15	286	56	3292	2	3578
3602	72	100	101	65	3401	4	3502
3609	8	11	264	0	3334	1	3598
3617	39	47	129	13	3441	33	3570
3685	77	112	172	7	3401	1	3573
3693	113	169	206	41	3318	407	3524
3721	104	155	227	12	3339	441	3566
3730	106	158	195	50	3377	445	3572
3739	58	80	224	11	3435	493	3659
3783	52	67	150	0	3566	1380	3716
3881	102	151	268	0	3462	461	3730
3881	31	40	191	0	3650	7	3841
3890	29	40	118	36	3732	1080	3850
4024	33	43	234	57	3747	554	3981
4029	92	131	254	0	3644	16	3898
4038	63	86	178	0	3774	343	3952
4047	73	100	216	63	3731	111	3947
4126	120	179	211	0	3736	916	3947
4154	86	125	253	58	3776	1	4029
4163	35	45	269	43	3849	144	4118
4189	99	143	285	20	3761	207	4046
4198	85	123	281	47	3794	16	4075
4275	59	81	254	27	3940	8	4194
4324	43	56	216	0	4052	47	4268
4365	82	117	262	0	3986	357	4248
4429	74	103	279	39	4047	12	4326
4434	18	23	275	28	4136	4	4411
4438	116	171	223	0	4044	765	4267
4466	114	171	277	0	4018	739	4295
4473	117	173	264	0	4036	308	4300
4482	44	57	284	11	4141	8	4425
4487	100	146	228	0	4113	441	4341
Processes: 147

Avg WT=1780,		Avg RT=178,		Avg TRT=1927
Migration:		RTF = 62%		MaxW = 72% 
Work Steal: 97% 
Forked Process: 16% 
Killed Process: 14% 
Before Deadline: 21% 

Processors: 8 [3 FCFS, 2 SJF, 0 EDF, 3 RR]
Processor Load
p1=6%	p2=7%	p3=7%	p4=19%	p5=19%	p6=21%	p7=20%	p8=20%	

