TT	PID	AT	CT	IO_D	WT	RT	TRT
2418	30	46	130	0	2242	2243	2372
2458	157	235	117	0	2106	1614	2223
2513	10	14	127	37	2372	8	2499
2513	207	254	115	0	2259	-1	2259
2523	178	268	58	26	2197	1129	2255
2523	308	2479	44	0	44	-1	44
2535	171	255	288	42	1992	1	2280
2535	243	892	275	0	1465	1	1643
2535	244	893	274	0	1623	12	1642
2535	310	2529	261	0	6	-1	6
2577	309	2506	55	0	16	17	71
2577	311	2531	46	0	46	-1	46
2601	2	6	289	62	2306	1	2595
2601	226	670	249	0	1931	-1	1931
2603	121	183	61	74	2359	429	2420
2603	289	2002	33	0	598	48	601
2611	64	80	43	41	2488	76	2531
2613	17	26	100	0	2487	2488	2587
2616	181	274	224	0	2118	2007	2342
2616	297	2281	223	0	335	-1	335
2643	16	24	85	85	2534	1	2619
2643	210	285	70	0	2358	-1	2358
2649	306	2445	204	0	0	1	204
2649	307	2451	198	0	198	-1	198
2649	304	2421	228	0	0	1	228
2719	47	66	87	0	2566	2551	2653
2719	314	2618	85	0	77	1	101
2719	315	2620	83	0	23	24	99
2719	316	2647	79	0	72	-1	72
2733	184	280	231	38	2222	1	2453
2733	247	972	215	0	1761	-1	1761
2829	134	200	57	0	2572	982	2629
2840	99	144	123	0	2573	2574	2696
2840	322	2720	120	0	120	-1	120
2852	176	265	228	9	2359	173	2587
2853	98	142	72	47	2639	494	2711
2869	115	171	79	49	2619	965	2698
2888	275	1748	260	0	880	1	1140
2888	276	1752	256	0	1136	-1	1136
2913	46	63	288	0	2562	1240	2850
2913	262	1309	281	0	1533	568	1604
2913	281	1881	276	0	961	1	1032
2913	282	1902	255	0	1011	-1	1011
2917	180	271	84	84	2562	8	2646
2941	78	104	282	0	2555	1804	2837
2941	283	1913	276	0	1028	-1	1028
2980	34	49	129	0	2802	2803	2931
2980	326	2859	121	0	121	-1	121
2989	325	2835	120	0	34	35	154
2989	327	2874	115	0	115	-1	115
3002	168	248	71	36	2683	327	2754
3023	222	547	135	0	2341	2342	2476
3023	328	2892	131	0	131	-1	131
3024	213	322	196	0	2506	78	2702
3024	216	400	195	0	2624	-1	2624
3039	84	116	147	54	2776	89	2923
3039	201	206	145	0	2833	-1	2833
3071	218	409	272	0	2390	13	2662
3071	220	430	263	0	2635	1855	2641
3071	298	2285	262	0	786	-1	786
3077	132	197	136	0	2744	2745	2880
3090	138	207	113	56	2770	417	2883
3090	313	2578	96	0	512	-1	512
3158	187	283	223	52	2652	191	2875
3159	127	192	200	36	2767	127	2967
3192	86	119	158	27	2915	538	3073
3192	329	2922	112	0	270	-1	270
3199	227	691	128	0	2380	2381	2508
3199	333	3078	121	0	70	1	121
3199	334	3083	116	0	62	47	116
3199	335	3137	108	0	62	-1	62
3217	135	202	162	0	2853	618	3015
3217	26	38	225	62	2954	115	3179
3217	323	2722	161	0	495	-1	495
3217	324	2722	161	0	495	-1	495
3232	155	229	93	66	2910	675	3003
3232	330	2957	41	0	275	-1	275
3234	36	53	135	10	3046	36	3181
3234	339	3208	26	0	26	-1	26
3256	102	147	215	36	2894	104	3109
3256	253	1083	190	0	2173	-1	2173
3256	254	1083	190	0	2163	1585	2173
3256	319	2672	185	0	584	-1	584
3285	182	276	191	69	2818	177	3009
3297	170	252	73	52	2972	610	3045
3342	336	3200	142	0	0	1	142
3342	337	3201	141	0	141	-1	141
3352	112	166	55	0	3131	3132	3186
3373	82	112	209	78	3052	164	3261
3378	92	130	197	74	3051	610	3248
3378	231	741	195	0	2637	-1	2637
3417	18	28	216	76	3173	99	3389
3431	338	3202	89	0	140	141	229
3431	341	3344	87	0	87	-1	87
3433	142	213	146	0	3074	3005	3220
3439	164	243	135	69	3061	62	3196
3517	87	122	61	0	3334	2956	3395
3517	345	3481	36	0	36	-1	36
3521	114	169	135	0	3217	2234	3352
3521	302	2404	133	0	1117	-1	1117
3569	153	224	151	53	3194	453	3345
3598	54	72	217	28	3309	24	3526
3598	343	3418	180	0	180	-1	180
3638	129	194	175	0	3269	545	3444
3638	232	749	164	0	2824	713	2889
3668	347	3542	126	0	0	1	126
3668	348	3543	125	0	125	-1	125
3668	56	74	165	0	3429	1810	3594
3668	346	3539	129	0	98	1	129
3668	145	216	267	0	3185	2020	3452
3678	107	156	142	67	3380	835	3522
3730	73	99	276	30	3355	1527	3631
3783	41	58	214	0	3511	2609	3725
3823	45	63	290	16	3470	149	3760
3823	248	977	260	0	2798	1371	2846
3823	299	2349	258	0	1474	-1	1474
3845	321	2705	247	0	893	894	1140
3845	349	3602	243	0	228	1	243
3845	350	3607	238	0	238	-1	238
3868	105	154	181	0	3533	3238	3714
3874	161	239	164	7	3471	1	3635
3959	23	32	151	0	3776	3777	3927
3959	356	3812	147	0	147	-1	147
4026	143	216	278	0	3532	3033	3810
4026	340	3252	274	0	774	-1	774
4042	44	63	207	0	3772	3628	3979
4042	353	3700	197	0	324	193	342
4042	357	3895	194	0	147	-1	147
4044	140	211	154	38	3679	54	3833
4072	72	97	224	0	3751	2756	3975
4123	246	925	218	0	2980	1245	3198
4123	295	2174	213	0	1949	-1	1949
4137	97	141	176	0	3820	3821	3996
4137	359	3970	167	0	167	-1	167
4147	174	262	176	24	3709	201	3885
4147	250	1007	162	0	3058	16	3140
4147	251	1029	155	0	3014	1	3118
4181	106	155	183	0	3843	3773	4026
4181	361	4105	37	0	76	-1	76
4231	89	122	132	0	3977	2792	4109
4244	57	74	211	0	3959	3700	4170
4249	125	190	141	79	3918	641	4059
4249	239	837	134	0	3412	-1	3412
4252	131	195	261	48	3796	677	4057
4252	242	876	256	0	3170	652	3376
4252	270	1530	253	0	2688	867	2722
4252	303	2417	232	0	1775	1	1835
4252	305	2421	228	0	1755	229	1831
4252	317	2654	223	0	1459	1	1598
4252	318	2657	220	0	1593	1189	1595
4282	358	3969	145	0	168	169	313
4282	362	4138	144	0	1	1	144
4282	363	4143	139	0	139	-1	139
4302	137	206	144	0	3952	1743	4096
4302	285	1949	143	0	2326	1251	2353
4303	146	219	250	0	3834	3160	4084
4303	342	3390	238	0	913	-1	913
4320	58	77	204	0	4039	1801	4243
4320	280	1878	203	0	2408	658	2442
4320	312	2538	200	0	1782	-1	1782
4437	152	224	137	0	4076	322	4213
4450	331	2982	245	0	1223	687	1468
4450	352	3669	244	0	781	-1	781
4455	158	235	233	0	3987	2017	4220
4478	63	79	166	0	4233	2911	4399
4478	332	2990	165	0	1488	-1	1488
4546	364	4287	259	0	0	1	259
4546	366	4297	249	0	249	-1	249
4585	77	103	210	0	4272	2995	4482
4585	368	4382	203	0	203	-1	203
4587	130	195	218	50	4174	657	4392
4608	144	216	153	0	4239	4240	4392
4672	96	139	275	72	4258	63	4533
4672	369	4439	233	0	233	-1	233
4676	91	127	193	0	4356	4126	4549
4691	103	150	217	0	4324	4150	4541
4712	40	58	213	0	4441	4442	4654
4717	76	102	297	0	4318	3767	4615
4817	19	30	280	66	4507	163	4787
4817	294	2170	239	0	2572	8	2647
4817	296	2181	235	0	2636	-1	2636
4932	162	240	254	34	4438	85	4692
4945	101	146	220	59	4579	108	4799
4945	374	4731	166	0	214	-1	214
4956	119	180	181	0	4595	1	4776
4963	147	222	198	41	4543	1	4741
4963	203	229	191	0	4664	3517	4734
4963	354	3762	174	0	1189	1	1201
4963	355	3767	169	0	1140	1001	1196
4963	375	4769	167	0	194	-1	194
4983	320	2705	247	0	2031	276	2278
5066	120	182	232	64	4652	212	4884
5069	74	100	203	0	4766	4500	4969
5069	376	4799	165	0	270	-1	270
5076	128	194	293	0	4589	3464	4882
5076	351	3669	281	0	1407	-1	1407
5123	12	14	279	18	4830	16	5109
5123	274	1747	261	0	3320	1	3376
5144	371	4554	251	0	339	340	590
5144	377	4900	244	0	244	-1	244
5181	154	226	274	29	4681	1	4955
5181	204	229	271	0	4896	3798	4952
5181	360	4033	264	0	942	250	1148
5181	365	4287	259	0	830	260	894
5218	14	18	259	28	4941	991	5200
5266	273	1663	261	0	3342	2788	3603
5266	370	4452	259	0	605	532	814
5266	378	4986	256	0	280	-1	280
5299	173	261	207	5	4831	1886	5038
5382	83	115	283	0	4984	3322	5267
5382	344	3443	276	0	1796	1186	1939
5382	372	4629	275	0	623	516	753
5382	380	5145	274	0	237	-1	237
5407	27	40	274	43	5093	61	5367
5415	169	249	177	0	4989	4447	5166
5415	373	4710	162	0	600	367	705
5415	379	5086	152	0	195	138	329
5415	381	5224	151	0	136	135	191
5415	385	5363	146	0	1	1	52
5415	386	5364	145	0	0	1	51
5415	387	5365	144	0	50	-1	50
5424	116	174	153	0	5097	3788	5250
5523	52	71	296	38	5156	114	5452
5566	53	72	283	0	5211	5178	5494
5583	183	279	286	0	5018	4024	5304
5583	367	4305	283	0	1218	962	1278
5583	382	5283	266	0	237	133	300
5583	389	5419	262	0	164	-1	164
5583	383	5283	266	0	300	-1	300
5590	60	77	205	0	5308	5309	5513
5590	388	5389	201	0	201	-1	201
5619	13	16	276	14	5327	28	5603
5701	80	107	249	0	5345	5208	5594
5701	384	5318	245	0	160	161	383
5701	390	5480	243	0	221	-1	221
5794	100	145	260	0	5389	5389	5649
Processes: 390

Avg WT=1563,		Avg RT=612,		Avg TRT=1663
Migration:		RTF = 0%		MaxW = 0% 
Work Steal: 91% 
Forked Process: 49% 
Killed Process: 43% 
Before Deadline: 53% 

Processors: 8 [4 FCFS, 2 SJF, 2 EDF, 0 RR]
Processor Load
p1=14%	p2=14%	p3=14%	p4=15%	p5=14%	p6=14%	p7=14%	p8=14%	

Processor Utilization
p1=90%	p2=88%	p3=89%	p4=91%	p5=91%	p6=93%	p7=89%	p8=90%	

Avg utilization = 90% 
