TT	PID	AT	CT	IO_D	WT	RT	TRT
155	62	79	76	0	0	1	76
176	113	167	9	50	0	1	9
178	66	84	94	0	0	1	94
178	194	87	91	0	91	-1	91
183	71	94	4	0	85	86	89
184	88	122	4	0	58	59	62
233	29	43	28	0	162	163	190
242	38	56	186	0	0	1	186
242	193	58	184	0	184	-1	184
244	148	223	13	0	8	9	21
244	205	233	11	0	11	-1	11
250	94	136	12	0	102	103	114
250	206	240	10	0	10	-1	10
250	104	153	3	0	94	95	97
289	122	185	104	0	0	1	104
289	199	191	98	0	98	-1	98
318	126	192	29	0	97	98	126
318	211	290	28	0	28	-1	28
331	90	125	48	0	158	159	206
379	31	46	34	0	299	300	333
382	21	30	51	0	301	302	352
393	198	182	179	0	32	33	211
393	202	215	178	0	178	-1	178
399	212	315	74	0	10	11	84
399	214	329	70	0	70	-1	70
400	149	223	156	0	21	22	177
400	208	263	137	0	137	-1	137
428	48	66	49	0	313	314	362
449	51	71	67	0	311	312	378
453	5	9	191	0	253	1	444
453	191	16	184	0	437	-1	437
541	39	58	54	0	429	430	483
545	151	224	128	0	193	194	321
545	219	429	116	0	116	-1	116
545	141	213	34	30	298	21	332
610	43	61	50	13	499	106	549
611	20	30	70	0	511	512	581
641	93	133	295	0	213	42	508
641	221	481	160	0	160	-1	160
675	186	283	256	0	136	1	392
731	25	35	40	9	656	104	696
731	229	706	25	0	25	-1	25
732	156	232	298	0	202	67	500
734	6	9	111	57	614	1	725
734	188	11	109	0	691	1	723
734	190	15	105	0	719	-1	719
739	33	48	132	0	559	109	691
739	224	637	102	0	72	1	102
739	225	646	93	0	26	26	93
739	228	691	73	0	48	-1	48
762	185	282	40	0	440	224	480
762	230	737	25	0	25	-1	25
819	234	773	46	0	0	1	46
819	235	781	38	0	38	-1	38
819	233	768	51	0	0	1	51
830	124	188	11	0	631	632	642
830	237	822	8	0	8	-1	8
840	160	237	105	0	498	278	603
841	166	247	44	0	550	407	594
855	117	175	177	13	503	90	680
855	209	272	169	0	583	-1	583
866	55	73	263	0	530	1	793
972	110	161	16	0	795	796	811
992	42	60	24	19	908	56	932
992	249	988	4	0	4	-1	4
1046	68	88	129	0	829	830	958
1047	37	56	121	0	870	1	991
1135	49	68	65	0	1002	1003	1067
1144	65	82	31	0	1031	966	1062
1144	255	1123	21	0	21	-1	21
1182	172	258	45	0	879	487	924
1204	1	5	295	0	904	1	1199
1218	111	163	74	0	981	982	1055
1218	258	1149	69	0	1	1	69
1218	259	1156	62	0	62	-1	62
1287	252	1030	154	0	103	104	257
1287	257	1140	147	0	147	-1	147
1294	118	177	196	0	921	690	1117
1314	241	859	210	0	245	246	455
1314	256	1126	188	0	188	-1	188
1336	177	266	65	0	1005	1006	1070
1339	136	205	159	0	975	687	1134
1339	245	900	150	0	439	-1	439
1374	7	12	69	0	1293	1	1362
1374	189	14	67	0	1305	13	1360
1374	192	33	60	0	1282	788	1341
1374	238	823	57	0	551	-1	551
1396	165	246	80	0	1070	529	1150
1449	9	12	203	0	1234	6	1437
1449	261	1292	157	0	157	-1	157
1461	196	179	147	0	1135	1136	1282
1461	263	1318	143	0	143	-1	143
1479	109	161	86	9	1232	701	1318
1480	179	269	239	0	972	466	1211
1480	264	1378	102	0	102	-1	102
1560	24	35	111	0	1414	11	1525
1613	3	6	188	28	1419	1	1607
1615	133	198	49	11	1368	418	1417
1621	81	110	141	0	1370	1371	1511
1621	267	1485	136	0	107	1	136
1621	268	1495	126	0	126	-1	126
1621	269	1495	126	0	126	-1	126
1625	265	1470	155	0	0	1	155
1625	266	1479	146	0	146	-1	146
1625	175	264	121	0	1240	546	1361
1625	236	812	118	0	813	-1	813
1671	69	90	127	0	1454	1314	1581
1696	61	79	167	0	1450	1451	1617
1703	70	93	164	0	1446	1	1610
1703	195	94	163	0	1609	-1	1609
1731	123	187	209	25	1335	1	1544
1731	200	193	203	0	1448	139	1538
1731	215	335	199	0	1396	-1	1396
1743	59	77	122	0	1544	1545	1666
1743	271	1622	121	0	121	-1	121
1748	4	9	83	53	1656	1	1739
1765	11	14	31	0	1720	628	1751
1795	22	31	198	56	1566	1	1764
1876	159	235	251	0	1390	1391	1641
1876	272	1632	244	0	244	-1	244
1877	95	139	60	22	1678	45	1738
1877	278	1864	13	0	8	1	13
1877	279	1867	10	0	10	-1	10
1936	8	12	203	53	1721	2	1924
2049	288	2002	33	0	14	15	47
2049	291	2028	21	0	21	-1	21
2049	32	47	47	15	1955	848	2002
2090	28	43	236	0	1811	16	2047
2090	284	1940	141	0	150	-1	150
2105	139	210	217	0	1678	765	1895
2131	163	241	215	46	1675	17	1890
2152	67	87	148	78	1917	92	2065
2152	197	179	147	0	1973	-1	1973
2169	286	1984	185	0	0	1	185
2169	287	1987	182	0	113	13	182
2169	290	2002	179	0	167	-1	167
2169	75	102	79	30	1988	75	2067
2217	108	158	291	0	1768	1369	2059
2222	79	106	169	0	1947	1394	2116
2222	292	2070	152	0	152	-1	152
2231	50	71	186	29	1974	1	2160
2231	293	2082	149	0	149	-1	149
2235	15	21	275	0	1939	1227	2214
2235	260	1260	262	0	975	-1	975
2242	85	118	262	0	1862	508	2124
2242	223	629	258	0	1613	-1	1613
2280	150	224	293	26	1763	177	2056
2280	217	402	291	0	1878	-1	1878
2284	240	853	216	0	1215	1	1431
2288	167	248	153	0	1887	1602	2040
2288	277	1851	151	0	437	-1	437
2341	35	51	138	46	2152	57	2290
2402	300	2377	19	0	6	7	25
2402	301	2387	15	0	15	-1	15
